idinmueble;ciarrendatario;fecha-inicio;fecha-fin
1;10;15/03/02;15/03/06
2;9;20/01/03;20/01/17
3;8;19/02/03;19/08/06
4;7;25/04/03;20/01/17
5;6;26/05/90;26/05/06
6;5;10/09/02;10/09/15
7;4;11/12/02;11/12/06
8;3;18/04/00;18/10/05
9;2;01/07/03;20/01/17
10;1;02/08/01;02/08/07
11;5;15/03/02;15/03/06
12;4;20/01/03;20/09/17
13;3;19/02/03;19/08/06
14;2;25/04/03;25/04/07
15;1;26/05/01;20/01/17
17;5;10/09/02;10/09/05
18;4;11/12/02;20/01/17
19;3;18/04/03;20/11/17
20;2;01/07/03;20/01/17
21;1;02/08/01;02/08/07
22;11;19/02/03;19/08/06
23;12;19/02/03;20/04/17
24;13;25/04/03;20/05/17
25;14;26/05/01;20/01/17
26;15;10/09/02;20/06/17
