id;tipo;precio;metros;dormitorios;garage;jardin;anio;cipropietario
1;CASA;5000;70;2;si;no;-;10
2;CASA;8500;82;3;si;no;-;9
3;APARTAMENTO;4000;60;2;no;-;2015;8
4;CASA;4800;86;2;si;no;-;7
5;CASA;21000;90;3;no;no;-;6
6;APARTAMENTO;3500;60;1;si;-;2000;5
7;CASA;16000;69;2;si;no;-;4
8;APARTAMENTO;5100;72;3;no;-;1979;3
9;APARTAMENTO;4800;83;4;no;-;1961;2
10;CASA;33000;104;4;no;no;-;1
11;CASA;3100;84;3;no;si;-;11
12;CASA;20000;71;2;no;no;-;12
13;APARTAMENTO;4100;82;2;no;-;2012;13
14;CASA;6200;90;3;no;no;-;14
15;CASA;10000;81;2;no;no;-;15
17;APARTAMENTO;4500;79;3;no;-;1979;17
18;CASA;9000;86;3;si;si;-;18
19;APARTAMENTO;3200;65;1;si;-;1965;19
20;CASA;28000;96;4;no;no;-;20
21;CASA;55000;200;2;si;si;-;21
22;APARTAMENTO;10000;45;1;si;-;2010;3
23;CASA;16000;44;2;si;no;-;3
24;APARTAMENTO;40000;90;3;no;-;1950;3
25;APARTAMENTO;50000;120;4;no;-;1986;2
26;CASA;70000;139;4;no;no;-;1
